Epoch,Learning_Rate,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time
1,0.0,0.9690818069872129,15.855794270833334,0.00028820746327196155,0.0003688684961954485,00:06:19
2,1.2421711899791232e-06,0.9687609582952766,15.853515625,0.00031103617460797407,0.0003684977817864553,00:12:38
3,2.4843423799582464e-06,0.9682889870661534,15.848486328125,0.0002500050260416253,0.0003699179452104458,00:18:59
4,3.7265135699373697e-06,0.9676258827798799,15.839306640625,0.0002971032404661437,0.0003257474031906228,00:25:18
5,4.968684759916493e-06,0.9662436085105689,15.824300130208334,0.0002957998152897461,0.000325464175032271,00:31:38
6,6.2108559498956165e-06,0.9635965430910751,15.800992838541667,0.0002529230814796065,0.0003414282571307959,00:37:57
7,7.453027139874739e-06,0.9456516974654228,15.065625,0.0002995677896205297,0.0002768092719936976,00:44:14
8,8.695198329853863e-06,0.8866504517875783,14.207185872395833,0.0001530635224959692,0.00020639930468622646,00:50:30
9,9.937369519832986e-06,0.8522510886938935,13.6447998046875,0.00014061229593834723,0.00024050804791313573,00:56:47
10,1.1179540709812109e-05,0.8087351884622912,12.7654052734375,0.00012673352011001668,0.0002994530309468781,01:03:04
11,1.2421711899791233e-05,0.7554903607776617,11.623453776041666,0.00018476384085826928,0.0003641485375042108,01:09:20
12,1.3663883089770354e-05,0.7056833796809759,10.803621419270833,0.00018118964637745414,0.0003682770524146447,01:15:37
13,1.4906054279749479e-05,0.6689772954315631,10.190706380208333,0.00015425990042424795,0.0003302128126017102,01:21:54
14,1.6148225469728603e-05,0.6388363768511873,9.621451822916667,0.0001692049378462295,0.00038222936401968575,01:28:10
15,1.7390396659707726e-05,0.6076860208849817,9.087727864583334,0.00023889588343758495,0.00041820903637877874,01:34:25
16,1.863256784968685e-05,0.5740322041362212,8.481038411458334,0.0002451948530989369,0.0003378809759227634,01:40:42
17,1.987473903966597e-05,0.5338833038393789,7.688631184895834,0.0001461986004475372,0.000397675021961222,01:46:59
18,2.1116910229645094e-05,0.4853025050153314,6.689111328125,0.00011908463625482492,0.0004518276668411056,01:53:14
19,2.2359081419624217e-05,0.43417046214444155,5.7374267578125,0.00021575410288710494,0.000660228936609448,01:59:35
20,2.360125260960334e-05,0.38731572224849947,5.323673502604167,0.0002561887731796989,0.0006648554494043443,02:06:04
21,2.4843423799582466e-05,0.35915379534185804,4.97425537109375,0.0002896489820029954,0.0004972396024285999,02:12:26
22,2.608559498956159e-05,0.33731200152498697,4.70196533203125,0.000276568118174908,0.00047180798107581074,02:18:49
23,2.7327766179540708e-05,0.32178154867725733,4.44359130859375,0.0003314857252716845,0.0004146969128185138,02:25:13
24,2.8569937369519834e-05,0.30955304681383744,4.24971923828125,0.00034092003581762196,0.0004077929280787419,02:31:37
25,2.9812108559498957e-05,0.3001435664103275,4.096435546875,0.0003366659184667925,0.00040582443395204796,02:37:59
26,3.1054279749478083e-05,0.290462485932607,3.9595133463541665,0.00033711341827762255,0.0004143363191630867,02:44:25
27,3.2296450939457206e-05,0.28247369754289536,3.8624532063802084,0.0003444086036180143,0.0003660228484310157,02:50:47
28,3.353862212943632e-05,0.27606959333001696,3.7473246256510415,0.00034963486829143727,0.0003593437529053892,02:57:10
29,3.478079331941545e-05,0.27039504399628134,3.710593668619792,0.0003488071041923329,0.0003647914857239466,03:03:30
30,3.6022964509394575e-05,0.26466799678284836,3.61617431640625,0.00026494496429206225,0.000376506543772216,03:09:47
31,3.72651356993737e-05,0.25960873661558914,3.5914042154947916,0.00040983744581454134,0.0003764965896437236,03:16:11
32,3.850730688935282e-05,0.25496442631540317,3.500618489583333,0.0002623810581869034,0.00037021229604782875,03:22:37
33,3.974947807933194e-05,0.25005676651797365,3.436720784505208,0.00028815344761185966,0.00035852897929510485,03:29:05
34,4.0991649269311066e-05,0.24524884632086705,3.3631998697916665,0.0003085064931040874,0.00034399874692313004,03:35:30
35,4.223382045929019e-05,0.2418804128881785,3.3033955891927085,0.00030153951976145645,0.00034178195466806225,03:41:55
36,4.347599164926932e-05,0.23832068712079202,3.275193277994792,0.0002450776267035321,0.0003296245110029638,03:49:03
37,4.4718162839248434e-05,0.23442227357613518,3.234546915690104,0.0002677418017417848,0.00032971072923506647,03:55:45
38,4.596033402922756e-05,0.23235504214101643,3.199912516276042,0.0002918743860314533,0.0003351058116987366,04:02:18
39,4.720250521920668e-05,0.22807369351635895,3.1712056477864583,0.0002619408873651197,0.00033326836957809595,04:08:48
40,4.844467640918581e-05,0.22550308131972535,3.1403188069661456,0.00022552870304625434,0.000333876503916994,04:15:14
41,4.968684759916493e-05,0.22308391021537383,3.109200032552083,0.00022376972429375485,0.00033080582545545495,04:21:32
42,5.0929018789144055e-05,0.22108332050618149,3.077496337890625,0.0002396714286717362,0.000331882419914304,04:27:53
43,5.217118997912318e-05,0.21902290615010112,3.071990966796875,0.00020999444288472303,0.00033009872872251297,04:34:19
44,5.3413361169102294e-05,0.2170481194036241,3.0430674235026043,0.00021771343400968927,0.00033481766181228776,04:40:43
45,5.4655532359081417e-05,0.21448473840765267,3.0144337972005206,0.0002290679946379709,0.00033359742485578503,04:47:08
46,5.589770354906054e-05,0.21291480333172952,2.998795572916667,0.00021697534453206962,0.0003332304121309781,04:53:34
47,5.713987473903967e-05,0.2112879424602851,2.9758453369140625,0.00020786331535714488,0.00033610576433816417,04:59:54
48,5.838204592901879e-05,0.20954753262513864,2.9666351318359374,0.00022773648776637233,0.0003303186992792144,05:06:18
49,5.9624217118997915e-05,0.20762062470947776,2.9510793050130206,0.00021483919098223164,0.0003396666985219073,05:12:38
50,6.086638830897704e-05,0.20619352973826494,2.9269785563151043,0.00024156559426161505,0.0003354361760455564,05:18:53
